Campus,StudyField,Branch,Role,EduLevel,ProgLang,Databases,Platform,WebFramework,Industry,AISearch,AITool,Employment
Durban Campus,Information Technology,I am a developer by profession,"Developer, full-stack","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",JavaScript,SQL,Amazon Web Services (AWS);Firebase;Heroku;Netlify;Vercel,React,"Information Services, IT, Software Development, or other Technology",ChatGPT,GitHub Copilot;Synk Code;Tabnine;Whispr AI,"Employed, full-time;Independent contractor, freelancer, or self-employed"
Durban Campus,CS,"I am not primarily a developer, but I write code sometimes as part of my work/studies",System administrator,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",JavaScript,SQL,Digital Ocean;Microsoft Azure;Netlify,React,"Manufacturing, Transportation, or Supply Chain",Unknown,GitHub Copilot;Mintlify,"Employed, full-time"
Durban Campus,Information Technology,I am a developer by profession,"Developer, full-stack","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",JavaScript,SQL,Amazon Web Services (AWS);Firebase;Google Cloud;Heroku;Netlify;Vercel,React,Healthcare,Bing AI;ChatGPT,AWS CodeWhisperer;Codeium;Tabnine,"Not employed, but looking for work"
Nelson Mandela Bay Campus,CS,I am a developer by profession,"Developer, full-stack","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",JavaScript,SQL,Digital Ocean;Microsoft Azure;Netlify,Vue.js,"Information Services, IT, Software Development, or other Technology",ChatGPT,Codeium;GitHub Copilot;Synk Code,"Employed, full-time"
Pretoria Campus,CS,I am a developer by profession,"Developer, back-end","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",JavaScript,SQL,Amazon Web Services (AWS);Microsoft Azure,Angular,Insurance,ChatGPT,Tabnine;Whispr AI,"Employed, full-time"
Durban Campus,CS,I am a developer by profession,"Developer, front-end","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",JavaScript,SQL,Netlify;Vercel,React,Advertising Services,ChatGPT,AWS CodeWhisperer;GitHub Copilot;Whispr AI,"Employed, full-time"
Nelson Mandela Bay Campus,CS,I am a developer by profession,"Developer, front-end","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",JavaScript,SQL,Amazon Web Services (AWS);Cloudflare;Netlify,React,Advertising Services,ChatGPT,AWS CodeWhisperer;GitHub Copilot;Synk Code,"Employed, full-time"
Tyger Valley Campus,CS,I am a developer by profession,"Developer, back-end","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Clojure;PHP,SQL,Unknown,Unknown,Other,Unknown,AWS CodeWhisperer;Codeium;GitHub Copilot;Synk Code;Tabnine,"Employed, full-time"
Pretoria Campus,Information Technology,I am a developer by profession,"Developer, full-stack","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",JavaScript,SQL,Amazon Web Services (AWS);Digital Ocean;Microsoft Azure,Vue.js,Legal Services,ChatGPT;WolframAlpha,Adrenaline;GitHub Copilot;Rubber Duck.AI;Tabnine,"Employed, full-time"
Durban Campus,Information Technology,I am a developer by profession,"Developer, back-end","Associate degree (A.A., A.S., etc.)",JavaScript,SQL,Amazon Web Services (AWS);Digital Ocean;Google Cloud;Microsoft Azure;VMware,jQuery;Node.js;Spring Boot;WordPress,Wholesale,ChatGPT,Codeium;GitHub Copilot;Synk Code,"Employed, full-time"
Pretoria Campus,Information Technology,"I am not primarily a developer, but I write code sometimes as part of my work/studies",Security professional,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",JavaScript,SQL,Amazon Web Services (AWS),Unknown,Legal Services,ChatGPT,AWS CodeWhisperer;Codeium;GitHub Copilot;Mintlify,"Employed, full-time"
Midrand Campus,CS,I am a developer by profession,"Developer, full-stack","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",JavaScript,SQL,Amazon Web Services (AWS);Cloudflare;Google Cloud;Netlify,React,Retail and Consumer Services,Unknown,AWS CodeWhisperer,"Employed, full-time"
Durban Campus,Information Technology,I am a developer by profession,"Developer, back-end","Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",JavaScript,SQL,Amazon Web Services (AWS);Heroku;Hetzner,Angular,Oil & Gas,ChatGPT,Adrenaline;Tabnine,"Employed, full-time"
Durban Campus,DS,"I am not primarily a developer, but I write code sometimes as part of my work/studies","Developer, back-end","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",HTML/CSS,SQL,Cloudflare;Google Cloud,Unknown,Oil & Gas,ChatGPT,GitHub Copilot;Replit Ghostwriter;Whispr AI,"Employed, full-time"
Durban Campus,DS,I am a developer by profession,"Developer, full-stack",Some college/university study without earning a degree,JavaScript,SQL,Microsoft Azure,Angular,Financial Services,ChatGPT;Google Bard AI,Rubber Duck.AI,"Employed, full-time"
Durban Campus,Information Technology,I am a developer by profession,"Developer, back-end","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",JavaScript,SQL,Digital Ocean;Microsoft Azure,React,Insurance,Unknown,AWS CodeWhisperer;Codeium;Replit Ghostwriter;Synk Code;Tabnine,"Employed, full-time"
Pretoria Campus,DS,I am a developer by profession,Research & Development role,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Python,Unknown,Google Cloud,Unknown,Retail and Consumer Services,ChatGPT;WolframAlpha;You.com,Synk Code;Tabnine;Whispr AI,"Employed, full-time"
Durban Campus,CS,I am a developer by profession,"Developer, front-end","Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",JavaScript,SQL,Netlify;Vercel,React,Oil & Gas,ChatGPT,Codeium;GitHub Copilot,"Employed, full-time"
Durban Campus,CS,I code primarily as a hobby,Research & Development role,Some college/university study without earning a degree,JavaScript,SQL,Unknown,Unknown,Other,Unknown,GitHub Copilot;Replit Ghostwriter,"Independent contractor, freelancer, or self-employed"
Pretoria Campus,DS,I am a developer by profession,"Developer, back-end","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",JavaScript,SQL,Microsoft Azure,Angular,Oil & Gas,Unknown,AWS CodeWhisperer;Codeium;GitHub Copilot;Mintlify,"Employed, full-time"
Durban Campus,CS,"I am not primarily a developer, but I write code sometimes as part of my work/studies",Other (please specify):,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Python,Unknown,Unknown,Unknown,Insurance,Unknown,Codeium;Replit Ghostwriter,"Employed, full-time"
Durban Campus,CS,I am a developer by profession,"Developer, mobile","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",JavaScript,SQL,Unknown,React,Healthcare,ChatGPT,Adrenaline;GitHub Copilot;Rubber Duck.AI;Tabnine,"Employed, full-time"
Durban Campus,CS,"I am not primarily a developer, but I write code sometimes as part of my work/studies",Student,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Python,Unknown,Unknown,Unknown,Oil & Gas,ChatGPT,AWS CodeWhisperer;GitHub Copilot;Mintlify;Tabnine,"Not employed, but looking for work;Student, full-time"
Durban Campus,CS,I am a developer by profession,"Developer, full-stack","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",JavaScript,MongoDB,Amazon Web Services (AWS);Google Cloud,Angular,Retail and Consumer Services,ChatGPT,Adrenaline;Synk Code;Whispr AI,"Independent contractor, freelancer, or self-employed"
Nelson Mandela Bay Campus,DS,I am a developer by profession,"Developer, back-end","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Python,SQL,Digital Ocean,FastAPI,Oil & Gas,Unknown,Adrenaline;Synk Code;Whispr AI,"Employed, full-time"
Durban Campus,CS,I am a developer by profession,"Developer, back-end","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Java,SQL,Amazon Web Services (AWS);Microsoft Azure,Unknown,Advertising Services,Unknown,Adrenaline;AWS CodeWhisperer,"Employed, full-time"
Durban Campus,DS,I am a developer by profession,"Developer, full-stack","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",SQL,SQL,Unknown,ASP.NET CORE,"Information Services, IT, Software Development, or other Technology",Unknown,Codeium;Synk Code;Whispr AI,"Employed, full-time"
Durban Campus,DS,I am a developer by profession,"Engineer, data","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",SQL,SQL,Amazon Web Services (AWS);Google Cloud,Unknown,"Information Services, IT, Software Development, or other Technology",Unknown,GitHub Copilot,"Employed, full-time"
Tyger Valley Campus,DS,I am a developer by profession,"Developer, back-end","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",JavaScript,SQL,Amazon Web Services (AWS),React,Advertising Services,ChatGPT,Adrenaline;AWS CodeWhisperer;Codeium;GitHub Copilot;Mintlify;Replit Ghostwriter;Rubber Duck.AI;Synk Code;Tabnine;Whispr AI,"Independent contractor, freelancer, or self-employed"
Pretoria Campus,Information Technology,I am a developer by profession,"Developer, full-stack","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",JavaScript,SQL,Amazon Web Services (AWS),Angular,Retail and Consumer Services,ChatGPT,AWS CodeWhisperer;Codeium;GitHub Copilot,"Employed, full-time"
Nelson Mandela Bay Campus,CS,I am a developer by profession,Academic researcher,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",JavaScript,SQL,Unknown,ASP.NET,Advertising Services,ChatGPT,Codeium;GitHub Copilot;Tabnine,"Employed, full-time"
Durban Campus,Information Technology,I am a developer by profession,"Developer, full-stack","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",JavaScript,SQL,Amazon Web Services (AWS);Cloudflare;Digital Ocean;Heroku,Express;NestJS;Node.js,Legal Services,Unknown,AWS CodeWhisperer;Tabnine,"Independent contractor, freelancer, or self-employed"
Midrand Campus,CS,I am a developer by profession,"Developer, full-stack","Professional degree (JD, MD, Ph.D, Ed.D, etc.)",JavaScript,SQL,Amazon Web Services (AWS);Heroku,Vue.js,Advertising Services,Unknown,Adrenaline;AWS CodeWhisperer;Codeium;Mintlify;Rubber Duck.AI;Synk Code;Tabnine,"Independent contractor, freelancer, or self-employed"
Pretoria Campus,Information Technology,I am a developer by profession,"Developer, full-stack","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",JavaScript,SQL,Unknown,jQuery,Insurance,ChatGPT,AWS CodeWhisperer;Replit Ghostwriter;Tabnine,"Employed, full-time"
Durban Campus,DS,I am a developer by profession,"Developer, full-stack","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",JavaScript,SQL,Amazon Web Services (AWS);Digital Ocean;Google Cloud;Microsoft Azure,Angular,Advertising Services,Bing AI;ChatGPT,AWS CodeWhisperer;Codeium;Tabnine;Whispr AI,"Employed, full-time"
Midrand Campus,DS,I am a developer by profession,"Developer, full-stack",Some college/university study without earning a degree,JavaScript,H2;MariaDB,Unknown,Node.js;Spring Boot,"Manufacturing, Transportation, or Supply Chain",Unknown,Adrenaline;AWS CodeWhisperer;GitHub Copilot;Replit Ghostwriter;Whispr AI,"Employed, full-time"
Durban Campus,Information Technology,I am a developer by profession,"Developer, full-stack","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",JavaScript,SQL,Firebase;Google Cloud;Managed Hosting,Flask,Advertising Services,Bing AI;ChatGPT,Adrenaline;GitHub Copilot;Rubber Duck.AI,"Employed, full-time;Independent contractor, freelancer, or self-employed;Employed, part-time"
Midrand Campus,DS,I am a developer by profession,Database administrator,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",JavaScript,Unknown,Amazon Web Services (AWS),Angular,Healthcare,ChatGPT,AWS CodeWhisperer;Rubber Duck.AI,"Employed, full-time"
